subj	seqno	ndcm	pname	tr	matrix	acqdir	dname	fullpath
20231103	36	680	cmrr_mbep2d_bold_R2x3_Pxl2_TR1300_NOSHIMERR 	1300	 110 0 0 110	COL 	s036_cmrr_mbep2d_bold_R2x3_Pxl2_TR1300_NOSHIMERR	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s036_cmrr_mbep2d_bold_R2x3_Pxl2_TR1300_NOSHIMERR
20231103	37	680	cmrr_mbep2d_bold_R2x3_Pxl2_TR1300_NOSHIMERR 	1300	 110 0 0 110	COL 	s037_MoCoSeries	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s037_MoCoSeries
20231103	38	1	cmrr_mbep2d_diff_b0_AP_R2x2_Pxl1p5mm_TR5050_b300DD22	5500	 148 0 0 148	COL 	s038_cmrr_mbep2d_diff_b0_AP_R2x2_Pxl1p5mm_TR5050_b300DD	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s038_cmrr_mbep2d_diff_b0_AP_R2x2_Pxl1p5mm_TR5050_b300DD
20231103	39	1	cmrr_mbep2d_diff_b0_PA_R2x2_Pxl1p5mm_TR5050_b300DD22	5500	 148 0 0 148	COL 	s039_cmrr_mbep2d_diff_b0_PA_R2x2_Pxl1p5mm_TR5050_b300DD	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s039_cmrr_mbep2d_diff_b0_PA_R2x2_Pxl1p5mm_TR5050_b300DD
20231103	40	1	cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97 	5500	 148 0 0 148	COL 	s040_cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97_	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s040_cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97_
20231103	41	126	cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97 	5500	 148 0 0 148	COL 	s041_cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s041_cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97
20231103	42	84	cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97 	5500	 148 0 0 148	COL 	s042_cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97_	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s042_cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97_
20231103	43	1092	cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97 	5500	 148 0 0 148	COL 	s043_cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97_	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s043_cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97_
20231103	44	84	cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97 	5500	 148 0 0 148	COL 	s044_cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97_	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s044_cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97_
20231103	45	84	cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97 	null	null	null	s045_cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97_	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s045_cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97_
20231103	46	1	cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97 	null	null	null	s046_cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97_	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s046_cmrr_mbep2d_diff_PA_R2x2_Pxl1p5mm_TR5050_b200DD97_
20231103	47	44	mtgre_yesMT 	150 	 0 144 126 0	ROW 	s047_mtgre_yesMT	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s047_mtgre_yesMT
20231103	48	44	mtgre_noMT	150 	 0 144 126 0	ROW 	s048_mtgre_noMT	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s048_mtgre_noMT
