subj	seqno	ndcm	pname	tr	matrix	acqdir	dname	fullpath
20231103	21	2	func-bold_task-rest 	1300	 110 0 0 110	COL 	006_func-bold_task-rest	dcm-rehead/20231103Luna_PilotSPA2/006_func-bold_task-rest/
20231103	1 	64	deriv_acq-pTx_desc-tablechange	null	null	null	007_deriv_acq-pTx_desc-tablechange	dcm-rehead/20231103Luna_PilotSPA2/007_deriv_acq-pTx_desc-tablechange/
20231103	22	1	derivfunc-bold_desc-moco	1300	 110 0 0 110	COL 	007_derivfunc-bold_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/007_derivfunc-bold_desc-moco/
20231103	35	2	derivfunc-bold_task-rest_desc-moco	1300	 110 0 0 110	COL 	007_derivfunc-bold_task-rest_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/007_derivfunc-bold_task-rest_desc-moco/
20231103	41	1	dwi-dwi_dir-PA	5500	 148 0 0 148	COL 	007_dwi-dwi_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/007_dwi-dwi_dir-PA/
20231103	21	2	func-bold_task-rest 	1300	 110 0 0 110	COL 	007_func-bold_task-rest	dcm-rehead/20231103Luna_PilotSPA2/007_func-bold_task-rest/
20231103	1 	64	deriv_acq-pTx_desc-tablechange	null	null	null	008_deriv_acq-pTx_desc-tablechange	dcm-rehead/20231103Luna_PilotSPA2/008_deriv_acq-pTx_desc-tablechange/
20231103	22	1	derivfunc-bold_desc-moco	1300	 110 0 0 110	COL 	008_derivfunc-bold_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/008_derivfunc-bold_desc-moco/
20231103	35	2	derivfunc-bold_task-rest_desc-moco	1300	 110 0 0 110	COL 	008_derivfunc-bold_task-rest_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/008_derivfunc-bold_task-rest_desc-moco/
20231103	41	1	dwi-dwi_dir-PA	5500	 148 0 0 148	COL 	008_dwi-dwi_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/008_dwi-dwi_dir-PA/
20231103	21	2	func-bold_task-rest 	1300	 110 0 0 110	COL 	008_func-bold_task-rest	dcm-rehead/20231103Luna_PilotSPA2/008_func-bold_task-rest/
20231103	22	1	derivfunc-bold_desc-moco	1300	 110 0 0 110	COL 	009_derivfunc-bold_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/009_derivfunc-bold_desc-moco/
20231103	35	2	derivfunc-bold_task-rest_desc-moco	1300	 110 0 0 110	COL 	009_derivfunc-bold_task-rest_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/009_derivfunc-bold_task-rest_desc-moco/
20231103	41	1	dwi-dwi_dir-PA	5500	 148 0 0 148	COL 	009_dwi-dwi_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/009_dwi-dwi_dir-PA/
20231103	21	2	func-bold_task-rest 	1300	 110 0 0 110	COL 	009_func-bold_task-rest	dcm-rehead/20231103Luna_PilotSPA2/009_func-bold_task-rest/
20231103	22	1	derivfunc-bold_desc-moco	1300	 110 0 0 110	COL 	010_derivfunc-bold_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/010_derivfunc-bold_desc-moco/
20231103	35	2	derivfunc-bold_task-rest_desc-moco	1300	 110 0 0 110	COL 	010_derivfunc-bold_task-rest_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/010_derivfunc-bold_task-rest_desc-moco/
